vocal,start,end
e,1.116000,1.206000
o,1.306000,1.386000
a,1.466000,1.516000
e,1.606000,1.656000
e,1.776000,1.866000
o,1.916000,2.036000
i,2.106000,2.196000
i,2.276000,2.376000
a,2.376000,2.416000
e,2.416000,2.446000
u,2.486000,2.576000
a,2.626000,2.706000
o,2.866000,2.946000
a,3.026000,3.136000
e,3.196000,3.236000
e,3.236000,3.266000
i,3.386000,3.446000
o,3.546000,3.616000
e,3.716000,3.756000
a,3.756000,3.826000
i,3.896000,3.966000
a,3.966000,4.076000
o,4.156000,4.196000
i,4.456000,4.546000
o,4.576000,4.666000
e,5.236000,5.296000
a,5.406000,5.456000
e,5.486000,5.516000
a,5.556000,5.636000
i,5.756000,5.816000
e,5.896000,5.926000
a,5.926000,6.066000
o,6.176000,6.296000
a,6.566000,6.686000
i,7.246000,7.336000
o,7.436000,7.476000
i,8.246000,8.356000
o,8.606000,8.666000
o,9.166000,9.266000
i,10.496000,10.526000
i,11.666000,11.786000
u,12.476000,12.576000
u,17.466000,17.576000
u,20.406000,20.506000
u,22.236000,22.366000
u,25.016000,25.186000
